Date,Time,Open,High,Low,Close,Volume
11/04/2019,11:20,43400,43410,43400,43410,628
11/04/2019,11:25,43420,43420,43400,43410,544
11/04/2019,11:30,43410,43430,43410,43420,798
11/04/2019,11:35,43420,43420,43420,43420,0
11/04/2019,11:40,43420,43420,43420,43420,0
11/04/2019,11:45,43420,43420,43420,43420,0
11/04/2019,11:50,43420,43420,43420,43420,0
11/04/2019,11:55,43420,43420,43420,43420,0
11/04/2019,12:00,43420,43420,43420,43420,0
11/04/2019,12:05,43420,43420,43420,43420,0
11/04/2019,12:10,43420,43420,43420,43420,0
11/04/2019,12:15,43420,43420,43420,43420,0
11/04/2019,12:20,43420,43420,43420,43420,0
11/04/2019,12:25,43420,43420,43420,43420,0
11/04/2019,12:30,43420,43420,43420,43420,0
11/04/2019,12:35,43420,43420,43420,43420,0
11/04/2019,12:40,43420,43420,43420,43420,0
11/04/2019,12:45,43420,43420,43420,43420,0
11/04/2019,12:50,43420,43420,43420,43420,0
11/04/2019,12:55,43420,43420,43420,43420,0
11/04/2019,13:00,43420,43420,43420,43420,0
11/04/2019,13:05,43420,43420,43420,43420,0
11/04/2019,13:10,43420,43420,43420,43420,0
11/04/2019,13:15,43420,43420,43420,43420,0
11/04/2019,13:20,43420,43420,43420,43420,0
11/04/2019,13:25,43420,43420,43420,43420,0
11/04/2019,13:30,43420,43420,43420,43420,0
11/04/2019,13:35,43430,43430,43390,43400,768
11/04/2019,13:40,43390,43420,43390,43420,842
11/04/2019,13:45,43420,43430,43410,43420,778
11/04/2019,13:50,43420,43430,43420,43420,578
11/04/2019,13:55,43430,43450,43430,43450,1168
11/04/2019,14:00,43440,43450,43440,43450,310
11/04/2019,14:05,43440,43440,43430,43440,316
11/04/2019,14:10,43440,43450,43430,43450,934
11/04/2019,14:15,43450,43450,43400,43400,2196
11/04/2019,14:20,43400,43410,43400,43400,780
11/04/2019,14:25,43400,43410,43390,43410,1232
11/04/2019,14:30,43400,43410,43390,43410,672
11/04/2019,14:35,43410,43410,43390,43400,892
11/04/2019,14:40,43390,43420,43390,43410,626
11/04/2019,14:45,43400,43410,43390,43400,1322
11/04/2019,14:50,43390,43400,43380,43390,602
11/04/2019,14:55,43400,43400,43380,43380,718
11/04/2019,15:00,43380,43400,43380,43400,2198
11/05/2019,09:05,43500,43500,43440,43460,1420
11/05/2019,09:10,43460,43480,43450,43460,912
11/05/2019,09:15,43460,43510,43460,43510,1308
11/05/2019,09:20,43520,43520,43500,43510,558
11/05/2019,09:25,43510,43530,43500,43520,674
11/05/2019,09:30,43530,43550,43520,43540,1242
11/05/2019,09:35,43550,43550,43530,43530,1228
11/05/2019,09:40,43520,43530,43520,43530,524
11/05/2019,09:45,43520,43530,43510,43520,516
11/05/2019,09:50,43520,43540,43520,43540,854
11/05/2019,09:55,43530,43550,43530,43550,458
11/05/2019,10:00,43550,43550,43530,43540,970
11/05/2019,10:05,43550,43560,43540,43550,1026
11/05/2019,10:10,43540,43560,43540,43560,436
11/05/2019,10:15,43560,43560,43540,43540,810
11/05/2019,10:20,43540,43540,43540,43540,0
11/05/2019,10:25,43540,43540,43540,43540,0
11/05/2019,10:30,43540,43540,43540,43540,0
11/05/2019,10:35,43540,43560,43540,43550,1092
11/05/2019,10:40,43540,43550,43540,43550,558
11/05/2019,10:45,43550,43560,43540,43560,662
11/05/2019,10:50,43560,43560,43540,43540,548
11/05/2019,10:55,43550,43550,43540,43540,132
11/05/2019,11:00,43540,43550,43530,43530,564
11/05/2019,11:05,43530,43550,43530,43550,936
11/05/2019,11:10,43540,43550,43540,43550,682
11/05/2019,11:15,43540,43550,43540,43550,200
11/05/2019,11:20,43540,43550,43540,43550,828
11/05/2019,11:25,43540,43550,43530,43530,1556
11/05/2019,11:30,43530,43540,43520,43540,734
